fate,count,library,sample
valid barcode,4236268,Fc-Lib01,TiteSeq_42.39_bin2
invalid barcode,3365121,Fc-Lib01,TiteSeq_42.39_bin2
low quality barcode,640602,Fc-Lib01,TiteSeq_42.39_bin2
unparseable barcode,445189,Fc-Lib01,TiteSeq_42.39_bin2
failed chastity filter,0,Fc-Lib01,TiteSeq_42.39_bin2
valid barcode,4154038,Fc-Lib01,TiteSeq_42.39_bin3
invalid barcode,2845252,Fc-Lib01,TiteSeq_42.39_bin3
low quality barcode,646505,Fc-Lib01,TiteSeq_42.39_bin3
unparseable barcode,411154,Fc-Lib01,TiteSeq_42.39_bin3
failed chastity filter,0,Fc-Lib01,TiteSeq_42.39_bin3
valid barcode,4685873,Fc-Lib01,TiteSeq_42.39_bin4
invalid barcode,2895416,Fc-Lib01,TiteSeq_42.39_bin4
low quality barcode,643558,Fc-Lib01,TiteSeq_42.39_bin4
unparseable barcode,397462,Fc-Lib01,TiteSeq_42.39_bin4
failed chastity filter,0,Fc-Lib01,TiteSeq_42.39_bin4
